"threshold","cv_off","cv_on","cv_difference","pred_off","pred_on","acc_cv_off","acc_cv_on"
10,38.85,38.19,-0.66,38.78,38.92,0.18,1.92
25,24.34,24.82,0.48,24.49,24.81,0.62,0.03
50,17.48,17.83,0.35,17.33,17.75,0.85,0.45
100,12.26,12.89,0.63,12.25,12.86,0.13,0.22
200,8.56,9.44,0.88,8.66,9.51,1.16,0.72
400,5.98,7.19,1.21,6.12,7.27,2.36,1.11
500,5.38,6.64,1.26,5.48,6.74,1.74,1.52
600,4.25,5.03,0.78,5.01,6.37,17.97,26.85
700,3.25,3.46,0.21,4.73,6.16,45.24,77.93
800,NA,NA,NA,NA,NA,NA,NA
