"ratio","n_targets","mean_x","empirical_cv","predicted_cv","cv_signed_error","rel_error","failed_slides","scenario"
1,12489,100,14.07,14.14,0.55,-0.0346,0,"Without tablet error"
2,24978,200,12.28,12.25,-0.26,0.0091,0,"Without tablet error"
3,37467,300,11.52,11.55,0.21,-0.0017,0,"Without tablet error"
6,74934,600,10.82,10.8,-0.2,0.0035,0,"Without tablet error"
10,124890,1002.6,10.38,10.49,0.99,0.2588,0,"Without tablet error"
30,374670,2999.6,10.17,10.17,-0.02,-0.0136,0,"Without tablet error"
60,749340,6006.7,10.12,10.08,-0.33,0.1114,0,"Without tablet error"
