"y","density"
0,0
0.000823477549387311,0.517295989400834
0.00164695509877462,1.03393097343125
0.00247043264816193,1.54924535425176
0.00329391019754924,2.06258234488928
0.00411738774693656,2.57328936419784
0.00494086529632387,3.08071941929719
0.00576434284571118,3.58423247138993
0.00658782039509849,4.08319678092146
0.0074112979444858,4.57699022812574
0.00823477549387311,5.06500160509377
0.00905825304326042,5.54663187561018
0.00988173059264773,6.02129539912554
0.010705208142035,6.48842111536791
0.0115286856914224,6.94745368624584
0.0123521632408097,7.39785459185587
0.013175640790197,7.83910317757957
0.0139991183395843,8.2706976494383
0.0148225958889716,8.69215601506612
0.0156460734383589,9.10301696786301
0.0164695509877462,9.50284071209991
0.0172930285371335,9.89120972696353
0.0181165060865208,10.2677294677517
0.0189399836359082,10.6320290026574
0.0197634611852955,10.9837615838115
0.0205869387346828,11.3226051514895
0.0214104162840701,11.6482627706226
0.0222338938334574,11.9604629989947
0.0230573713828447,12.2589601867408
0.023880848932232,12.543534707002
0.0247043264816193,12.8139931178256
0.0255278040310066,13.0701682556326
0.026351281580394,13.3119192607986
0.0271747591297813,13.5391315361236
0.0279982366791686,13.7517166391773
0.0288217142285559,13.9496121097209
0.0296451917779432,14.1327812336097
0.0304686693273305,14.3012127447741
0.0312921468767178,14.4549204670651
0.0321156244261051,14.5939428979258
0.0329391019754924,14.718342736019
0.0337625795248798,14.8282063550949
0.0345860570742671,14.9236432265291
0.0354095346236544,15.0047852930957
0.0362330121730417,15.0717862966584
0.037056489722429,15.1248210625753
0.0378799672718163,15.164084743707
0.0387034448212036,15.1897920270031
0.0395269223705909,15.2021763057126
0.0403503999199782,15.2014888203217
0.0411738774693656,15.1879977713682
0.0419973550187529,15.1619874073145
0.0428208325681402,15.1237570906791
0.0436443101175275,15.0736203456366
0.0444677876669148,15.0119038902877
0.0452912652163021,14.9389466567873
0.0461147427656894,14.8550988024854
0.0469382203150767,14.7607207152001
0.047761697864464,14.6561820156867
0.0485851754138514,14.5418605603085
0.0494086529632387,14.4181414468415
0.050232130512626,14.2854160262641
0.0510556080620133,14.1440809232962
0.0518790856114006,13.9945370683493
0.0527025631607879,13.8371887434479
0.0535260407101752,13.672442644567
0.0543495182595625,13.5007069627139
0.0551729958089498,13.3223904859561
0.0559964733583372,13.1379017244668
0.0568199509077245,12.9476480605297
0.0576434284571118,12.7520349253015
0.0584669060064991,12.5514650039945
0.0592903835558864,12.3463374709962
0.0601138611052737,12.1370472562999
0.060937338654661,11.923984344474
0.0617608162040483,11.7075331072524
0.0625842937534356,11.4880716706817
0.063407771302823,11.2659713176188
0.0642312488522103,11.0415959262272
0.0650547264015976,10.8153014449791
0.0658782039509849,10.5874354045342
0.0667016815003722,10.3583364667271
0.0675251590497595,10.1283340107677
0.0683486365991468,9.897747756625
0.0691721141485341,9.66688742544818
0.0699955916979214,9.43605243675302
0.0708190692473088,9.20553164199297
0.0716425467966961,8.97560309402284
0.0724660243460834,8.74653385186144
0.0732895018954707,8.51857982006209
0.074112979444858,8.29198562190916
0.0749364569942453,8.06698450557405
0.0757599345436326,7.8437982822858
0.0765834120930199,7.6226372954995
0.0774068896424072,7.40370041998046
0.0782303671917946,7.18717508966318
0.0790538447411819,6.97323735309191
0.0798773222905692,6.76205195520382
0.0807007998399565,6.55377244417653
0.0815242773893438,6.34854130202846
0.0823477549387311,6.1464900976343
0.0831712324881184,5.94773966079659
0.0839947100375057,5.75240027600014
0.0848181875868931,5.56057189446701
0.0856416651362804,5.37234436312615
0.0864651426856677,5.18779766911413
0.087288620235055,5.00700219843002
0.0881120977844423,4.83001900737977
0.0889355753338296,4.65690010546184
0.0897590528832169,4.4876887483665
0.0905825304326042,4.32241973978644
0.0914060079819915,4.16111974076487
0.0922294855313788,4.00380758533941
0.0930529630807662,3.8504946012755
0.0938764406301535,3.70118493472151
0.0946999181795408,3.55587587765823
0.0955233957289281,3.41455819705904
0.0963468732783154,3.27721646472205
0.0971703508277027,3.14382938678259
0.09799382837709,3.01437013196292
0.0988173059264773,2.88880665766554
0.0996407834758646,2.76710203306744
0.100464261025252,2.64921475842341
0.101287738574639,2.53509907983869
0.102111216124027,2.42470529882304
0.102934693673414,2.31798007598989
0.103758171222801,2.21486672831643
0.104581648772189,2.11530551943125
0.105405126321576,2.01923394244681
0.106228603870963,1.92658699490407
0.10705208142035,1.83729744544488
0.107875558969738,1.75129609187587
